model,keep_rate,acc1,latency_ms,throughput,gflops,params_m
deit_base_patch16_224,0.25,51.32,5.058464,197.688470,6.349069,85.875556
deit_base_patch16_224,0.50,89.00,6.728473,148.622142,8.608061,85.875556
deit_base_patch16_224,0.70,93.06,8.770612,114.017130,11.336089,85.875556
deit_base_patch16_224,0.90,93.76,11.559406,86.509635,14.985036,85.875556
deit_small_patch16_224,0.25,70.16,1.253400,797.829698,1.633914,21.704164
deit_small_patch16_224,0.50,89.02,1.762803,567.278404,2.203078,21.704164
deit_small_patch16_224,0.70,91.80,2.390418,418.336928,2.892333,21.704164
deit_small_patch16_224,0.90,92.46,3.256205,307.105978,3.816735,21.704164
deit_tiny_patch16_224,0.25,52.54,0.747353,1338.056483,0.431802,5.543716
deit_tiny_patch16_224,0.50,80.34,0.751450,1330.760311,0.576300,5.543716
deit_tiny_patch16_224,0.70,86.42,0.983857,1016.407659,0.752239,5.543716
deit_tiny_patch16_224,0.90,88.44,1.241106,805.732823,0.989422,5.543716
vit_base_patch16_224,0.25,61.00,5.060855,197.595087,6.349069,85.875556
vit_base_patch16_224,0.50,92.48,6.698092,149.296244,8.608061,85.875556
vit_base_patch16_224,0.70,95.04,8.815495,113.436631,11.336089,85.875556
vit_base_patch16_224,0.90,95.54,11.567751,86.447229,14.985036,85.875556
vit_small_patch16_224,0.25,35.48,1.254492,797.135388,1.633914,21.704164
vit_small_patch16_224,0.50,82.80,1.743727,573.484239,2.203078,21.704164
vit_small_patch16_224,0.70,91.28,2.361775,423.410327,2.892333,21.704164
vit_small_patch16_224,0.90,93.06,3.259988,306.749636,3.816735,21.704164
vit_tiny_patch16_224,0.25,44.06,0.660382,1514.274394,0.431802,5.543716
vit_tiny_patch16_224,0.50,79.72,0.752896,1328.205431,0.576300,5.543716
vit_tiny_patch16_224,0.70,86.92,1.036088,965.168548,0.752239,5.543716
vit_tiny_patch16_224,0.90,89.08,1.096168,912.268746,0.989422,5.543716
