model_id,efficiency_budget,profile,config_key,acc1,gflops,acc_per_gflop,latency_ms,throughput,params_m
deit_tiny_patch16_224,0.5,balanced,eff_0.5_balanced,84.00,0.576728,145.649217,1.249245,800.483529,5.543716
deit_tiny_patch16_224,0.5,merging_heavy,eff_0.5_merging_heavy,84.38,0.580862,145.266810,0.866146,1154.539653,5.543716
deit_tiny_patch16_224,0.5,pruning_heavy,eff_0.5_pruning_heavy,82.66,0.580582,142.374498,0.749216,1334.728693,5.543716
deit_tiny_patch16_224,0.7,balanced,eff_0.7_balanced,86.96,0.753022,115.481420,1.116497,895.658565,5.543716
deit_tiny_patch16_224,0.7,merging_heavy,eff_0.7_merging_heavy,86.88,0.753096,115.363827,0.843550,1185.466078,5.543716
deit_tiny_patch16_224,0.7,pruning_heavy,eff_0.7_pruning_heavy,86.60,0.752959,115.012975,0.910954,1097.750391,5.543716
deit_tiny_patch16_224,0.9,balanced,eff_0.9_balanced,88.06,0.992030,88.767510,1.110228,900.715502,5.543716
deit_tiny_patch16_224,0.9,pruning_heavy,eff_0.9_pruning_heavy,88.28,0.994888,88.733629,1.216849,821.794752,5.543716
deit_tiny_patch16_224,0.9,merging_heavy,eff_0.9_merging_heavy,88.00,0.992125,88.698496,1.090154,917.301964,5.543716
deit_small_patch16_224,0.5,balanced,eff_0.5_balanced,90.60,2.203505,41.116310,1.628363,614.113653,21.704164
deit_small_patch16_224,0.5,pruning_heavy,eff_0.5_pruning_heavy,90.40,2.218995,40.739166,1.627961,614.265312,21.704164
deit_small_patch16_224,0.5,merging_heavy,eff_0.5_merging_heavy,90.26,2.219276,40.670929,1.609812,621.190571,21.704164
deit_small_patch16_224,0.7,merging_heavy,eff_0.7_merging_heavy,92.06,2.893190,31.819548,2.157364,463.528617,21.704164
deit_small_patch16_224,0.7,pruning_heavy,eff_0.7_pruning_heavy,91.96,2.893053,31.786491,2.183240,458.034773,21.704164
deit_small_patch16_224,0.7,balanced,eff_0.7_balanced,91.86,2.893116,31.751233,2.164606,461.977837,21.704164
deit_small_patch16_224,0.9,balanced,eff_0.9_balanced,92.30,3.822887,24.144054,2.929630,341.340014,21.704164
deit_small_patch16_224,0.9,merging_heavy,eff_0.9_merging_heavy,92.28,3.822983,24.138220,2.931035,341.176377,21.704164
deit_small_patch16_224,0.9,pruning_heavy,eff_0.9_pruning_heavy,92.26,3.833983,24.063747,2.913344,343.248112,21.704164
deit_base_patch16_224,0.5,balanced,eff_0.5_balanced,89.72,8.608489,10.422271,5.885062,169.921740,85.875556
deit_base_patch16_224,0.5,pruning_heavy,eff_0.5_pruning_heavy,90.24,8.670254,10.407999,5.830807,171.502858,85.875556
deit_base_patch16_224,0.5,merging_heavy,eff_0.5_merging_heavy,88.70,8.670535,10.230049,5.823612,171.714741,85.875556
deit_base_patch16_224,0.7,pruning_heavy,eff_0.7_pruning_heavy,92.96,11.336809,8.199838,7.651199,130.698464,85.875556
deit_base_patch16_224,0.7,merging_heavy,eff_0.7_merging_heavy,92.70,11.336946,8.176805,7.638699,130.912341,85.875556
deit_base_patch16_224,0.7,balanced,eff_0.7_balanced,92.58,11.336872,8.166273,7.625782,131.134097,85.875556
deit_base_patch16_224,0.9,balanced,eff_0.9_balanced,93.56,15.005356,6.235107,10.189320,98.141972,85.875556
deit_base_patch16_224,0.9,merging_heavy,eff_0.9_merging_heavy,93.46,15.005451,6.228403,10.144371,98.576837,85.875556
deit_base_patch16_224,0.9,pruning_heavy,eff_0.9_pruning_heavy,93.44,15.048852,6.209112,10.192217,98.114081,85.875556
deit_tiny_patch16_224,0.25,merging_heavy,eff_0.25_merging_heavy,74.98,0.459053,163.336217,0.715212,1398.186477,5.543716
deit_tiny_patch16_224,0.25,balanced,eff_0.25_balanced,67.62,0.429446,157.458838,1.107321,903.080643,5.543716
deit_tiny_patch16_224,0.25,pruning_heavy,eff_0.25_pruning_heavy,68.00,0.431916,157.438102,0.668976,1494.821265,5.543716
deit_small_patch16_224,0.25,balanced,eff_0.25_balanced,79.58,1.624015,49.002015,1.192913,838.283807,21.704164
deit_small_patch16_224,0.25,pruning_heavy,eff_0.25_pruning_heavy,79.76,1.634028,48.811894,1.243047,804.474665,21.704164
deit_small_patch16_224,0.25,merging_heavy,eff_0.25_merging_heavy,84.84,1.740630,48.740965,1.342566,744.842359,21.704164
deit_base_patch16_224,0.25,merging_heavy,eff_0.25_merging_heavy,68.58,6.772198,10.126697,4.816914,207.601807,85.875556
deit_base_patch16_224,0.25,pruning_heavy,eff_0.25_pruning_heavy,52.44,6.349183,8.259331,4.529806,220.760026,85.875556
deit_base_patch16_224,0.25,balanced,eff_0.25_balanced,47.88,6.309043,7.589106,4.532464,220.630538,85.875556
