model,keep_rate,acc1,latency_ms,throughput,gflops,params_m
deit_base_patch16_224,0.25,,,,,
deit_base_patch16_224,0.50,85.3,6.092456,164.137418,8.506695,85.875556
deit_base_patch16_224,0.70,92.0,7.958224,125.656178,11.215674,85.875556
deit_base_patch16_224,0.90,93.26,10.436809,95.814728,14.864572,85.875556
deit_small_patch16_224,0.25,,,,,
deit_small_patch16_224,0.50,89.96,1.621474,616.72286,2.178166,21.704164
deit_small_patch16_224,0.70,91.54,2.216692,451.122628,2.862748,21.704164
deit_small_patch16_224,0.90,92.42,2.952073,338.744956,3.787355,21.704164
deit_tiny_patch16_224,0.25,,,,,
deit_tiny_patch16_224,0.50,82.92,0.900448,1110.558285,0.570594,5.543716
deit_tiny_patch16_224,0.70,86.7,0.887732,1126.466338,0.745508,5.543716
deit_tiny_patch16_224,0.90,88.44,1.041582,960.078356,0.983023,5.543716
vit_base_patch16_224,0.25,,,,,
vit_base_patch16_224,0.50,91.42,6.022273,166.050259,8.506695,85.875556
vit_base_patch16_224,0.70,94.64,7.361097,135.849313,11.215674,85.875556
vit_base_patch16_224,0.90,95.3,10.301493,97.073307,14.864572,85.875556
vit_small_patch16_224,0.25,,,,,
vit_small_patch16_224,0.50,86.58,1.646604,607.310615,2.178166,21.704164
vit_small_patch16_224,0.70,91.68,2.202583,454.012444,2.862748,21.704164
vit_small_patch16_224,0.90,92.76,2.744867,364.316355,3.787355,21.704164
vit_tiny_patch16_224,0.25,,,,,
vit_tiny_patch16_224,0.50,83.06,0.776578,1287.700108,0.570594,5.543716
vit_tiny_patch16_224,0.70,86.86,1.031482,969.478665,0.745508,5.543716
vit_tiny_patch16_224,0.90,88.76,1.058738,944.520941,0.983023,5.543716
