config_name,model,params_m,gflops,acc1,latency_ms,throughput,model_id,config_key,efficiency_budget,profile,reduction_loc,evit_keep_rate,tome_keep_rate
Hybrid vit_tiny_patch16_224 eff_0.9_balanced,vit_tiny_patch16_224,5.543716,0.992029632,88.9,0.9713191271998994,1029.5277545730837,vit_tiny_patch16_224,eff_0.9_balanced,0.9,balanced,"[3, 6, 9]","[0.9487, 0.9487, 0.9487]","[0.9487, 0.9487, 0.9487]"
Hybrid vit_tiny_patch16_224 eff_0.9_pruning_heavy,vit_tiny_patch16_224,5.543716,0.994887744,89.3,1.0323204495999563,968.6914565990812,vit_tiny_patch16_224,eff_0.9_pruning_heavy,0.9,pruning_heavy,"[3, 6, 9]","[0.92, 0.92, 0.92]","[0.9783, 0.9783, 0.9783]"
Hybrid vit_tiny_patch16_224 eff_0.9_merging_heavy,vit_tiny_patch16_224,5.543716,0.992125056,89.1,1.267694895600016,788.8333411066449,vit_tiny_patch16_224,eff_0.9_merging_heavy,0.9,merging_heavy,"[3, 6, 9]","[0.9783, 0.9783, 0.9783]","[0.92, 0.92, 0.92]"
Hybrid vit_tiny_patch16_224 eff_0.7_balanced,vit_tiny_patch16_224,5.543716,0.753021568,87.62,0.9318102164001403,1073.179905521209,vit_tiny_patch16_224,eff_0.7_balanced,0.7,balanced,"[3, 6, 9]","[0.8367, 0.8367, 0.8367]","[0.8367, 0.8367, 0.8367]"
Hybrid vit_tiny_patch16_224 eff_0.7_pruning_heavy,vit_tiny_patch16_224,5.543716,0.752958528,87.52,1.0634501556000486,940.3355622584426,vit_tiny_patch16_224,eff_0.7_pruning_heavy,0.7,pruning_heavy,"[3, 6, 9]","[0.8, 0.8, 0.8]","[0.875, 0.875, 0.875]"
Hybrid vit_tiny_patch16_224 eff_0.7_merging_heavy,vit_tiny_patch16_224,5.543716,0.75309568,87.74,0.848591152999893,1178.4237868434695,vit_tiny_patch16_224,eff_0.7_merging_heavy,0.7,merging_heavy,"[3, 6, 9]","[0.875, 0.875, 0.875]","[0.8, 0.8, 0.8]"
Hybrid vit_tiny_patch16_224 eff_0.5_balanced,vit_tiny_patch16_224,5.543716,0.576728128,84.14,1.3046266134000006,766.5028366958496,vit_tiny_patch16_224,eff_0.5_balanced,0.5,balanced,"[3, 6, 9]","[0.7071, 0.7071, 0.7071]","[0.7071, 0.7071, 0.7071]"
Hybrid vit_tiny_patch16_224 eff_0.5_pruning_heavy,vit_tiny_patch16_224,5.543716,0.580581504,82.56,0.8824214794000454,1133.2453066304502,vit_tiny_patch16_224,eff_0.5_pruning_heavy,0.5,pruning_heavy,"[3, 6, 9]","[0.6, 0.6, 0.6]","[0.8333, 0.8333, 0.8333]"
Hybrid vit_tiny_patch16_224 eff_0.5_merging_heavy,vit_tiny_patch16_224,5.543716,0.580862208,84.36,0.8534063934000414,1171.7746758562675,vit_tiny_patch16_224,eff_0.5_merging_heavy,0.5,merging_heavy,"[3, 6, 9]","[0.8333, 0.8333, 0.8333]","[0.6, 0.6, 0.6]"
Hybrid vit_tiny_patch16_224 eff_0.25_balanced,vit_tiny_patch16_224,5.543716,0.429445568,60.12,0.6971310894000453,1434.450442972792,vit_tiny_patch16_224,eff_0.25_balanced,0.25,balanced,"[3, 6, 9]","[0.5, 0.5, 0.5]","[0.5, 0.5, 0.5]"
Hybrid vit_tiny_patch16_224 eff_0.25_pruning_heavy,vit_tiny_patch16_224,5.543716,0.431915776,60.06,0.6783928871993339,1474.0720589338482,vit_tiny_patch16_224,eff_0.25_pruning_heavy,0.25,pruning_heavy,"[3, 6, 9]","[0.4, 0.4, 0.4]","[0.625, 0.625, 0.625]"
Hybrid vit_tiny_patch16_224 eff_0.25_merging_heavy,vit_tiny_patch16_224,5.543716,0.45905312,71.42,0.7125512874001287,1403.4077513896289,vit_tiny_patch16_224,eff_0.25_merging_heavy,0.25,merging_heavy,"[3, 6, 9]","[0.625, 0.625, 0.625]","[0.4, 0.4, 0.4]"
Hybrid vit_small_patch16_224 eff_0.9_balanced,vit_small_patch16_224,21.704164,3.822887424,92.88,2.822184979599888,354.33538454370694,vit_small_patch16_224,eff_0.9_balanced,0.9,balanced,"[3, 6, 9]","[0.9487, 0.9487, 0.9487]","[0.9487, 0.9487, 0.9487]"
Hybrid vit_small_patch16_224 eff_0.9_pruning_heavy,vit_small_patch16_224,21.704164,3.833983104,92.86,2.8267032343999743,353.76900830280135,vit_small_patch16_224,eff_0.9_pruning_heavy,0.9,pruning_heavy,"[3, 6, 9]","[0.92, 0.92, 0.92]","[0.9783, 0.9783, 0.9783]"
Hybrid vit_small_patch16_224 eff_0.9_merging_heavy,vit_small_patch16_224,21.704164,3.822982848,92.84,2.8312759760001427,353.1976425034836,vit_small_patch16_224,eff_0.9_merging_heavy,0.9,merging_heavy,"[3, 6, 9]","[0.9783, 0.9783, 0.9783]","[0.92, 0.92, 0.92]"
Hybrid vit_small_patch16_224 eff_0.7_balanced,vit_small_patch16_224,21.704164,2.893115968,91.94,2.093236185799924,477.7291768524692,vit_small_patch16_224,eff_0.7_balanced,0.7,balanced,"[3, 6, 9]","[0.8367, 0.8367, 0.8367]","[0.8367, 0.8367, 0.8367]"
Hybrid vit_small_patch16_224 eff_0.7_pruning_heavy,vit_small_patch16_224,21.704164,2.893052928,92.02,2.10046224300022,476.08568225041654,vit_small_patch16_224,eff_0.7_pruning_heavy,0.7,pruning_heavy,"[3, 6, 9]","[0.8, 0.8, 0.8]","[0.875, 0.875, 0.875]"
Hybrid vit_small_patch16_224 eff_0.7_merging_heavy,vit_small_patch16_224,21.704164,2.89319008,92.24,2.0937657557998137,477.60834622018274,vit_small_patch16_224,eff_0.7_merging_heavy,0.7,merging_heavy,"[3, 6, 9]","[0.875, 0.875, 0.875]","[0.8, 0.8, 0.8]"
Hybrid vit_small_patch16_224 eff_0.5_balanced,vit_small_patch16_224,21.704164,2.203505152,88.14,1.5603808654000886,640.8691763491958,vit_small_patch16_224,eff_0.5_balanced,0.5,balanced,"[3, 6, 9]","[0.7071, 0.7071, 0.7071]","[0.7071, 0.7071, 0.7071]"
Hybrid vit_small_patch16_224 eff_0.5_pruning_heavy,vit_small_patch16_224,21.704164,2.21899488,87.58,1.557491379600151,642.0581282810864,vit_small_patch16_224,eff_0.5_pruning_heavy,0.5,pruning_heavy,"[3, 6, 9]","[0.6, 0.6, 0.6]","[0.8333, 0.8333, 0.8333]"
Hybrid vit_small_patch16_224 eff_0.5_merging_heavy,vit_small_patch16_224,21.704164,2.219275584,88.5,1.5714996042003804,636.3348723265036,vit_small_patch16_224,eff_0.5_merging_heavy,0.5,merging_heavy,"[3, 6, 9]","[0.8333, 0.8333, 0.8333]","[0.6, 0.6, 0.6]"
Hybrid vit_small_patch16_224 eff_0.25_balanced,vit_small_patch16_224,21.704164,1.624014848,55.58,1.226886172799459,815.0715381511234,vit_small_patch16_224,eff_0.25_balanced,0.25,balanced,"[3, 6, 9]","[0.5, 0.5, 0.5]","[0.5, 0.5, 0.5]"
Hybrid vit_small_patch16_224 eff_0.25_pruning_heavy,vit_small_patch16_224,21.704164,1.634027968,55.98,1.2156608893996235,822.5978220734471,vit_small_patch16_224,eff_0.25_pruning_heavy,0.25,pruning_heavy,"[3, 6, 9]","[0.4, 0.4, 0.4]","[0.625, 0.625, 0.625]"
Hybrid vit_small_patch16_224 eff_0.25_merging_heavy,vit_small_patch16_224,21.704164,1.740630272,71.16,1.2487002403994665,800.8327120046795,vit_small_patch16_224,eff_0.25_merging_heavy,0.25,merging_heavy,"[3, 6, 9]","[0.625, 0.625, 0.625]","[0.4, 0.4, 0.4]"
Hybrid vit_base_patch16_224 eff_0.9_balanced,vit_base_patch16_224,85.875556,15.005355648,95.36,9.805491798999947,101.98366593932485,vit_base_patch16_224,eff_0.9_balanced,0.9,balanced,"[3, 6, 9]","[0.9487, 0.9487, 0.9487]","[0.9487, 0.9487, 0.9487]"
Hybrid vit_base_patch16_224 eff_0.9_pruning_heavy,vit_base_patch16_224,85.875556,15.048851712,95.48,9.813210667000021,101.90344770267815,vit_base_patch16_224,eff_0.9_pruning_heavy,0.9,pruning_heavy,"[3, 6, 9]","[0.92, 0.92, 0.92]","[0.9783, 0.9783, 0.9783]"
Hybrid vit_base_patch16_224 eff_0.9_merging_heavy,vit_base_patch16_224,85.875556,15.005451072,95.28,9.754305745999817,102.51882871419055,vit_base_patch16_224,eff_0.9_merging_heavy,0.9,merging_heavy,"[3, 6, 9]","[0.9783, 0.9783, 0.9783]","[0.92, 0.92, 0.92]"
Hybrid vit_base_patch16_224 eff_0.7_balanced,vit_base_patch16_224,85.875556,11.336872384,95.2,7.3396825799999075,136.2456739920778,vit_base_patch16_224,eff_0.7_balanced,0.7,balanced,"[3, 6, 9]","[0.8367, 0.8367, 0.8367]","[0.8367, 0.8367, 0.8367]"
Hybrid vit_base_patch16_224 eff_0.7_pruning_heavy,vit_base_patch16_224,85.875556,11.336809344,95.2,7.35818584080007,135.90306383064498,vit_base_patch16_224,eff_0.7_pruning_heavy,0.7,pruning_heavy,"[3, 6, 9]","[0.8, 0.8, 0.8]","[0.875, 0.875, 0.875]"
Hybrid vit_base_patch16_224 eff_0.7_merging_heavy,vit_base_patch16_224,85.875556,11.336946496,95.16,7.350837076599827,136.03892857091532,vit_base_patch16_224,eff_0.7_merging_heavy,0.7,merging_heavy,"[3, 6, 9]","[0.875, 0.875, 0.875]","[0.8, 0.8, 0.8]"
Hybrid vit_base_patch16_224 eff_0.5_balanced,vit_base_patch16_224,85.875556,8.608488832,93.62,5.6314425085997755,177.5743956318297,vit_base_patch16_224,eff_0.5_balanced,0.5,balanced,"[3, 6, 9]","[0.7071, 0.7071, 0.7071]","[0.7071, 0.7071, 0.7071]"
Hybrid vit_base_patch16_224 eff_0.5_pruning_heavy,vit_base_patch16_224,85.875556,8.6702544,93.62,5.62949084120005,177.635958243575,vit_base_patch16_224,eff_0.5_pruning_heavy,0.5,pruning_heavy,"[3, 6, 9]","[0.6, 0.6, 0.6]","[0.8333, 0.8333, 0.8333]"
Hybrid vit_base_patch16_224 eff_0.5_merging_heavy,vit_base_patch16_224,85.875556,8.670535104,93.12,5.6032219953997355,178.4687454505646,vit_base_patch16_224,eff_0.5_merging_heavy,0.5,merging_heavy,"[3, 6, 9]","[0.8333, 0.8333, 0.8333]","[0.6, 0.6, 0.6]"
Hybrid vit_base_patch16_224 eff_0.25_balanced,vit_base_patch16_224,85.875556,6.309043328,71.16,4.222007705599845,236.85413900918599,vit_base_patch16_224,eff_0.25_balanced,0.25,balanced,"[3, 6, 9]","[0.5, 0.5, 0.5]","[0.5, 0.5, 0.5]"
