keep_rate,model,params_m,gflops,acc1,latency_ms,throughput
baseline,vit_tiny_patch16_224,5.543716,1.079407,89.22,1.482524,674.525162
baseline,vit_small_patch16_224,21.704164,4.250329,93.18,2.833717,352.893368
baseline,vit_base_patch16_224,85.875556,16.866722,95.52,11.367248,87.972042
baseline,deit_tiny_patch16_224,5.543716,1.079407,88.42,1.083703,922.761968
baseline,deit_small_patch16_224,21.704164,4.250329,92.62,3.177157,314.746807
baseline,deit_base_patch16_224,85.875556,16.866722,93.64,11.430492,87.485297
0.9,pruned_vit_tiny_patch16_224,5.543716,0.93674,63.42,0.959563,1042.141377
0.9,pruned_vit_small_patch16_224,21.704164,3.680996,88.62,2.880077,347.212883
0.9,pruned_vit_base_patch16_224,85.875556,14.592055,92.08,10.283088,97.247057
0.9,pruned_deit_tiny_patch16_224,5.543716,0.93674,87.94,1.159386,862.525646
0.9,pruned_deit_small_patch16_224,21.704164,3.680996,92.06,2.861979,349.408578
0.9,pruned_deit_base_patch16_224,85.875556,14.592055,92.68,10.282266,97.254826
0.7,pruned_vit_tiny_patch16_224,5.543716,0.699417,57.04,0.898808,1112.584595
0.7,pruned_vit_small_patch16_224,21.704164,2.733901,83.82,2.075656,481.775493
0.7,pruned_vit_base_patch16_224,85.875556,10.808069,90.04,7.644469,130.81354
0.7,pruned_deit_tiny_patch16_224,5.543716,0.699417,84.02,0.865495,1155.407936
0.7,pruned_deit_small_patch16_224,21.704164,2.733901,90.52,2.073586,482.256238
0.7,pruned_deit_base_patch16_224,85.875556,10.808069,90.62,7.597719,131.618448
0.5,pruned_vit_tiny_patch16_224,5.543716,0.524771,42.22,0.738985,1353.206724
0.5,pruned_vit_small_patch16_224,21.704164,2.036907,67.48,1.450718,689.313849
0.5,pruned_vit_base_patch16_224,85.875556,8.023276,80.66,5.706512,175.238401
0.5,pruned_deit_tiny_patch16_224,5.543716,0.524771,75.22,0.74844,1336.112695
0.5,pruned_deit_small_patch16_224,21.704164,2.036907,85.0,1.452373,688.528155
0.5,pruned_deit_base_patch16_224,85.875556,8.023276,82.14,5.676192,176.174448
0.25,pruned_vit_tiny_patch16_224,5.543716,0.383467,13.2,0.582652,1716.291381
0.25,pruned_vit_small_patch16_224,21.704164,1.472954,19.16,1.085411,921.309733
0.25,pruned_vit_base_patch16_224,85.875556,5.769985,33.9,4.214614,237.269638
0.25,pruned_deit_tiny_patch16_224,5.543716,0.383467,33.18,0.577627,1731.221009
0.25,pruned_deit_small_patch16_224,21.704164,1.472954,50.34,1.057098,945.986111
0.25,pruned_deit_base_patch16_224,85.875556,5.769985,25.86,4.205564,237.780231
