config_name,model,params_m,gflops,acc1,latency_ms,throughput
"vit_tiny_patch16_224 - TopK keep=[0.25,0.25,0.25]",vit_tiny_patch16_224,5.543716,0.427900992,42.9,0.719300667,1390.239223
"vit_tiny_patch16_224 - TopK keep=[0.50,0.50,0.50]",vit_tiny_patch16_224,5.543716,0.56977632,79.22,0.751078517,1331.418722
"vit_tiny_patch16_224 - TopK keep=[0.70,0.70,0.70]",vit_tiny_patch16_224,5.543716,0.744424512,86.78,0.901144565,1109.699863
"vit_tiny_patch16_224 - TopK keep=[0.90,0.90,0.90]",vit_tiny_patch16_224,5.543716,0.981480768,89.08,1.20820607,827.6733783
"vit_small_patch16_224 - TopK keep=[0.25,0.25,0.25]",vit_small_patch16_224,21.704164,1.618444416,34.44,1.150414288,869.2520688
"vit_small_patch16_224 - TopK keep=[0.50,0.50,0.50]",vit_small_patch16_224,21.704164,2.177347968,81.82,1.575348178,634.780307
"vit_small_patch16_224 - TopK keep=[0.70,0.70,0.70]",vit_small_patch16_224,21.704164,2.861664384,91.22,2.135871852,468.192883
"vit_small_patch16_224 - TopK keep=[0.90,0.90,0.90]",vit_small_patch16_224,21.704164,3.785812608,93.14,2.875590851,347.7546187
"vit_base_patch16_224 - TopK keep=[0.25,0.25,0.25]",vit_base_patch16_224,85.875556,6.28745856,58.72,4.417420755,226.3764435
"vit_base_patch16_224 - TopK keep=[0.50,0.50,0.50]",vit_base_patch16_224,85.875556,8.505877248,92.46,5.824892059,171.677001
"vit_base_patch16_224 - TopK keep=[0.70,0.70,0.70]",vit_base_patch16_224,85.875556,11.21459021,95.1,7.645981499,130.7876563
"vit_base_patch16_224 - TopK keep=[0.90,0.90,0.90]",vit_base_patch16_224,85.875556,14.8630295,95.58,10.11408001,98.87206737
"deit_tiny_patch16_224 - TopK keep=[0.25,0.25,0.25]",deit_tiny_patch16_224,5.543716,0.427900992,52.02,0.633175498,1579.340961
"deit_tiny_patch16_224 - TopK keep=[0.50,0.50,0.50]",deit_tiny_patch16_224,5.543716,0.56977632,80.14,0.729055869,1371.636993
"deit_tiny_patch16_224 - TopK keep=[0.70,0.70,0.70]",deit_tiny_patch16_224,5.543716,0.744424512,86.28,0.902990694,1107.431125
"deit_tiny_patch16_224 - TopK keep=[0.90,0.90,0.90]",deit_tiny_patch16_224,5.543716,0.981480768,88.48,1.15641848,864.738862
"deit_small_patch16_224 - TopK keep=[0.25,0.25,0.25]",deit_small_patch16_224,21.704164,1.618444416,68.78,1.3112002,762.6600422
"deit_small_patch16_224 - TopK keep=[0.50,0.50,0.50]",deit_small_patch16_224,21.704164,2.177347968,89.16,1.569095903,637.3096751
"deit_small_patch16_224 - TopK keep=[0.70,0.70,0.70]",deit_small_patch16_224,21.704164,2.861664384,91.6,2.138479675,467.6219332
"deit_small_patch16_224 - TopK keep=[0.90,0.90,0.90]",deit_small_patch16_224,21.704164,3.785812608,92.46,2.892373504,345.736814
"deit_base_patch16_224 - TopK keep=[0.25,0.25,0.25]",deit_base_patch16_224,85.875556,6.28745856,53.04,4.421054597,226.1903756
"deit_base_patch16_224 - TopK keep=[0.50,0.50,0.50]",deit_base_patch16_224,85.875556,8.505877248,88.86,5.845257675,171.0788567
"deit_base_patch16_224 - TopK keep=[0.70,0.70,0.70]",deit_base_patch16_224,85.875556,11.21459021,93.18,7.659592686,130.555245
"deit_base_patch16_224 - TopK keep=[0.90,0.90,0.90]",deit_base_patch16_224,85.875556,14.8630295,93.74,10.10727785,98.93860789
